Table,Variable,Frequency,Dimensions,Standard Name,Long Name,Comment,Modeling Realm,Units,Positive,Cell Methods,Cell Measures
CFsubhr,rlds,subhrPt,site time1,surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,"The surface called 'surface' means the lower boundary of the atmosphere. 'longwave' means longwave radiation. Downwelling radiation is radiation from above. It does not mean 'net downward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics.",atmos,W m-2,down,area: point time: point,
CFsubhr,rldscs,subhrPt,site time1,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Longwave Radiation,Surface downwelling clear-sky longwave radiation,atmos,W m-2,down,area: point time: point,
CFsubhr,rlu,subhrPt,alevhalf site time1,upwelling_longwave_flux_in_air,Upwelling Longwave Radiation,Upwelling longwave radiation (includes the fluxes at the surface and TOA),atmos,W m-2,up,area: point time: point,
CFsubhr,rlucs,subhrPt,alevhalf site time1,upwelling_longwave_flux_in_air_assuming_clear_sky,Upwelling Clear-Sky Longwave Radiation,Upwelling clear-sky longwave radiation  (includes the fluxes at the surface and TOA),atmos,W m-2,up,area: point time: point,
CFsubhr,rlus,subhrPt,site time1,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,"The surface called 'surface' means the lower boundary of the atmosphere. 'longwave' means longwave radiation. Upwelling radiation is radiation from below. It does not mean 'net upward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics.",atmos,W m-2,up,area: point time: point,
CFsubhr,rlut,subhrPt,site time1,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,at the top of the atmosphere (to be compared with satellite measurements),atmos,W m-2,up,area: point time: point,
CFsubhr,rlutcs,subhrPt,site time1,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation,Upwelling clear-sky longwave radiation at top of atmosphere,atmos,W m-2,up,area: point time: point,
CFsubhr,rsd,subhrPt,alevhalf site time1,downwelling_shortwave_flux_in_air,Downwelling Shortwave Radiation,Downwelling shortwave radiation (includes the fluxes at the surface and top-of-atmosphere),atmos,W m-2,down,area: point time: point,
CFsubhr,rsdcs,subhrPt,alevhalf site time1,downwelling_shortwave_flux_in_air_assuming_clear_sky,Downwelling Clear-Sky Shortwave Radiation,Downwelling clear-sky shortwave radiation (includes the fluxes at the surface and top-of-atmosphere),atmos,W m-2,down,area: point time: point,
CFsubhr,rsds,subhrPt,site time1,surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,Surface solar irradiance for UV calculations.,atmos,W m-2,down,area: point time: point,
CFsubhr,rsdscs,subhrPt,site time1,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Shortwave Radiation,Surface solar irradiance clear sky for UV calculations,atmos,W m-2,down,area: point time: point,
CFsubhr,rsdt,subhrPt,site time1,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,Shortwave radiation incident at the top of the atmosphere,atmos,W m-2,down,area: point time: point,
CFsubhr,rsu,subhrPt,alevhalf site time1,upwelling_shortwave_flux_in_air,Upwelling Shortwave Radiation,Upwelling shortwave radiation  (includes also the fluxes at the surface and top of atmosphere),atmos,W m-2,up,area: point time: point,
CFsubhr,rsucs,subhrPt,alevhalf site time1,upwelling_shortwave_flux_in_air_assuming_clear_sky,Upwelling Clear-Sky Shortwave Radiation,Upwelling clear-sky shortwave radiation  (includes the fluxes at the surface and TOA),atmos,W m-2,up,area: point time: point,
CFsubhr,rsus,subhrPt,site time1,surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave Radiation,"The surface called 'surface' means the lower boundary of the atmosphere. 'shortwave' means shortwave radiation. Upwelling radiation is radiation from below. It does not mean 'net upward'. When thought of as being incident on a surface, a radiative flux is sometimes called 'irradiance'. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called 'vector irradiance'. In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics.",atmos,W m-2,up,area: point time: point,
CFsubhr,rsuscs,subhrPt,site time1,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Upwelling Clear-Sky Shortwave Radiation,Surface Upwelling Clear-sky Shortwave Radiation,atmos,W m-2,up,area: point time: point,
CFsubhr,rsut,subhrPt,site time1,toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation,at the top of the atmosphere,atmos,W m-2,up,area: point time: point,
CFsubhr,rsutcs,subhrPt,site time1,toa_outgoing_shortwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Shortwave Radiation,Calculated in the absence of clouds.,atmos,W m-2,up,area: point time: point,
CFsubhr,rtmt,subhrPt,site time1,net_downward_radiative_flux_at_top_of_atmosphere_model,Net Downward Radiative Flux at Top of Model,"Net Downward Radiative Flux at Top of Model : I.e., at the top of that portion of the atmosphere where dynamics are explicitly treated by the model. This is reported only if it differs from the net downward radiative flux at the top of the atmosphere.",atmos,W m-2,down,area: point time: point,
CFsubhr,sbl,subhrPt,site time1,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,Surface Snow and Ice Sublimation Flux,The snow and ice sublimation flux is the loss of snow and ice mass per unit area from the surface resulting from their direct conversion to water vapor that enters the atmosphere.,landIce,kg m-2 s-1,,area: point time: point,
CFsubhr,sci,subhrPt,site time1,shallow_convection_time_fraction,Fraction of Time Shallow Convection Occurs,Fraction of time that shallow convection occurs in the grid cell.,atmos,1,,area: point time: point,
CFsubhr,sfcWind,subhrPt,site time1 height10m,wind_speed,Near-Surface Wind Speed,"near-surface (usually, 10 meters) wind speed.",atmos,m s-1,,area: point time: point,
CFsubhr,ta,subhrPt,alevel site time1,air_temperature,Air Temperature,Air Temperature,atmos,K,,area: point time: point,
CFsubhr,tas,subhrPt,site time1 height2m,air_temperature,Near-Surface Air Temperature,"near-surface (usually, 2 meter) air temperature",atmos,K,,area: point time: point,
CFsubhr,tauu,subhrPt,site time1,surface_downward_eastward_stress,Surface Downward Eastward Wind Stress,Downward eastward wind stress at the surface,atmos,Pa,down,area: point time: point,
CFsubhr,tauv,subhrPt,site time1,surface_downward_northward_stress,Surface Downward Northward Wind Stress,Downward northward wind stress at the surface,atmos,Pa,down,area: point time: point,
CFsubhr,tnhus,subhrPt,alevel site time1,tendency_of_specific_humidity,Tendency of Specific Humidity,Tendency of Specific Humidity,atmos,s-1,,area: point time: point,
CFsubhr,tnhusa,subhrPt,alevel site time1,tendency_of_specific_humidity_due_to_advection,Tendency of Specific Humidity Due to Advection,Tendency of Specific Humidity due to Advection,atmos,s-1,,area: point time: point,
CFsubhr,tnhusc,subhrPt,alevel site time1,tendency_of_specific_humidity_due_to_convection,Tendency of Specific Humidity Due to Convection,Tendencies from cumulus convection scheme.,atmos,s-1,,area: point time: point,
CFsubhr,tnhusd,subhrPt,alevel site time1,tendency_of_specific_humidity_due_to_diffusion,Tendency of Specific Humidity Due to Numerical Diffusion,"Tendency of specific humidity due to numerical diffusion.This includes any horizontal or vertical numerical moisture diffusion not associated with the parametrized moist physics or the resolved dynamics.  For example, any vertical diffusion which is part of the boundary layer mixing scheme should be excluded, as should any diffusion which is included in the terms from the resolved dynamics.   This term is required to check the closure of the moisture budget.",atmos,s-1,,area: point time: point,
CFsubhr,tnhusmp,subhrPt,alevel site time1,tendency_of_specific_humidity_due_to_model_physics,Tendency of Specific Humidity Due to Model Physics,"Tendency of specific humidity due to model physics. This includes sources and sinks from parametrized moist physics (e.g. convection, boundary layer, stratiform condensation/evaporation, etc.) and excludes sources and sinks from resolved dynamics or from horizontal or vertical numerical diffusion not associated with model physics.  For example any diffusive mixing by the boundary layer scheme would be included.",atmos,s-1,,area: point time: point,
CFsubhr,tnhusscpbl,subhrPt,alevel site time1,tendency_of_specific_humidity_due_to_stratiform_cloud_and_precipitation_and_boundary_layer_mixing,Tendency of Specific Humidity Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,"Tendency of Specific Humidity Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing  (to be specified only in  models which do not separate budget terms for stratiform cloud, precipitation and boundary layer schemes.  Includes all boundary layer terms including and diffusive terms.)",atmos,s-1,,area: point time: point,
CFsubhr,tnt,subhrPt,alevel site time1,tendency_of_air_temperature,Tendency of Air Temperature,Tendency of Air Temperature,atmos,K s-1,,area: point time: point,
CFsubhr,tnta,subhrPt,alevel site time1,tendency_of_air_temperature_due_to_advection,Tendency of Air Temperature Due to Advection,Tendency of Air Temperature due to Advection,atmos,K s-1,,area: point time: point,
CFsubhr,tntc,subhrPt,alevel site time1,tendency_of_air_temperature_due_to_convection,Tendency of Air Temperature Due to Convection,Tendencies from cumulus convection scheme.,atmos,K s-1,,area: point time: point,
CFsubhr,tntmp,subhrPt,alevel site time1,tendency_of_air_temperature_due_to_model_physics,Tendency of Air Temperature Due to Model Physics,"Tendency of air temperature due to model physics. This includes sources and sinks from parametrized physics (e.g. radiation, convection, boundary layer, stratiform condensation/evaporation, etc.). It excludes sources and sinks from resolved dynamics and numerical diffusion not associated with parametrized physics.  For example, any vertical diffusion which is part of the boundary layer mixing scheme should be included, while numerical diffusion applied in addition to physics or resolved dynamics should be excluded.  This term is required to check the closure of the heat budget.",atmos,K s-1,,area: point time: point,
CFsubhr,tntr,subhrPt,alevel site time1,tendency_of_air_temperature_due_to_radiative_heating,Tendency of Air Temperature Due to Radiative Heating,Tendency of Air Temperature due to Radiative Heating,atmos,K s-1,,area: point time: point,
CFsubhr,tntscpbl,subhrPt,alevel site time1,tendency_of_air_temperature_due_to_stratiform_cloud_and_precipitation_and_boundary_layer_mixing,Tendency of Air Temperature Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,"Tendency of Air Temperature Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing (to be specified only in  models which do not separate cloud, precipitation and boundary layer terms.  Includes all boundary layer terms including diffusive ones.)",atmos,K s-1,,area: point time: point,
CFsubhr,ts,subhrPt,site time1,surface_temperature,Surface Temperature,Temperature of the lower boundary of the atmosphere,atmos,K,,area: point time: point,
CFsubhr,ua,subhrPt,alevel site time1,eastward_wind,Eastward Wind,Zonal wind (positive in a eastward direction).,atmos,m s-1,,area: point time: point,
CFsubhr,uas,subhrPt,site time1 height10m,eastward_wind,Eastward Near-Surface Wind,"Eastward component of the near-surface (usually, 10 meters)  wind",atmos,m s-1,,area: point time: point,
CFsubhr,va,subhrPt,alevel site time1,northward_wind,Northward Wind,Meridional wind (positive in a northward direction).,atmos,m s-1,,area: point time: point,
CFsubhr,vas,subhrPt,site time1 height10m,northward_wind,Northward Near-Surface Wind,Northward component of the near surface wind,atmos,m s-1,,area: point time: point,
CFsubhr,wap,subhrPt,alevel site time1,lagrangian_tendency_of_air_pressure,Omega (=dp/dt),"Omega (vertical velocity in pressure coordinates, positive downwards)",atmos,Pa s-1,,area: point time: point,
CFsubhr,zg,subhrPt,alevel site time1,geopotential_height,Geopotential Height,"Geopotential is the sum of the specific gravitational potential energy relative to the geoid and the specific centripetal potential energy. Geopotential height is the geopotential divided by the standard acceleration due to gravity. It is numerically similar to the altitude (or geometric height) and not to the quantity with standard name height, which is relative to the surface.",atmos,m,,area: point time: point,
Lmon,baresoilFrac,mon,longitude latitude time typebare,area_fraction,Bare Soil Percentage Area Coverage,Percentage of entire grid cell  that is covered by bare soil.,land,%,,area: mean where land over all_area_types time: mean,area: areacella
Lmon,burntFractionAll,mon,longitude latitude time typeburnt,area_fraction,Percentage of Entire Grid Cell That Is Covered by Burnt Vegetation (All Classes),Percentage of grid cell burned due to all fires including natural and anthropogenic fires and those associated with anthropogenic Land-use change,land,%,,area: mean where land over all_area_types time: mean,area: areacella
Lmon,c3PftFrac,mon,longitude latitude time typec3pft,area_fraction,Percentage Cover by C3 Plant Functional Type,"Percentage of entire grid cell  that is covered by C3 PFTs (including grass, crops, and trees).",land,%,,area: mean where land over all_area_types time: mean,area: areacella
Lmon,c4PftFrac,mon,longitude latitude time typec4pft,area_fraction,Percentage Cover by C4 Plant Functional Type,Percentage of entire grid cell  that is covered by C4 PFTs (including grass and crops).,land,%,,area: mean where land over all_area_types time: mean,area: areacella
Lmon,cCwd,mon,longitude latitude time,wood_debris_mass_content_of_carbon,Carbon Mass in Coarse Woody Debris,Carbon mass per unit area in woody debris (dead organic matter composed of coarse wood.  It is distinct from litter),land,kg m-2,,area: mean where land time: mean,area: areacella
Lmon,cLeaf,mon,longitude latitude time,leaf_mass_content_of_carbon,Carbon Mass in Leaves,Carbon mass per unit area in leaves.,land,kg m-2,,area: mean where land time: mean,area: areacella
Lmon,cLitter,mon,longitude latitude time,litter_mass_content_of_carbon,Carbon Mass in Litter Pool,'Litter' is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between 'fine' and 'coarse' is model dependent. 'Content' indicates a quantity per unit area. The sum of the quantities with standard names surface_litter_mass_content_of_carbon and subsurface_litter_mass_content_of_carbon has the standard name litter_mass_content_of_carbon.,land,kg m-2,,area: mean where land time: mean,area: areacella
Lmon,cLitterAbove,mon,longitude latitude time,surface_litter_mass_content_of_carbon,Carbon Mass in Above-Ground Litter,'Litter' is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between 'fine' and 'coarse' is model dependent. 'Surface litter' means the part of the litter resting above the soil surface. 'Content' indicates a quantity per unit area. The sum of the quantities with standard names surface_litter_mass_content_of_carbon and subsurface_litter_mass_content_of_carbon has the standard name litter_mass_content_of_carbon.,land,kg m-2,,area: mean where land time: mean,area: areacella
Lmon,cLitterBelow,mon,longitude latitude time,subsurface_litter_mass_content_of_carbon,Carbon Mass in Below-Ground Litter,'Litter' is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between 'fine' and 'coarse' is model dependent. 'subsurface litter' means the part of the litter mixed within the soil below the surface. 'Content' indicates a quantity per unit area. The sum of the quantities with standard names surface_litter_mass_content_of_carbon and subsurface_litter_mass_content_of_carbon has the standard name litter_mass_content_of_carbon.,land,kg m-2,,area: mean where land time: mean,area: areacella
Lmon,cProduct,mon,longitude latitude time,carbon_mass_content_of_forestry_and_agricultural_products,Carbon Mass in Products of Land-Use Change,Carbon mass per unit area in that has been removed from the environment through  land use change.,land,kg m-2,,area: mean where land time: mean,area: areacella
Lmon,cRoot,mon,longitude latitude time,root_mass_content_of_carbon,Carbon Mass in Roots,"Carbon mass per unit area in roots, including fine and coarse roots.",land,kg m-2,,area: mean where land time: mean,area: areacella
Lmon,cSoilFast,mon,longitude latitude time,fast_soil_pool_mass_content_of_carbon,Carbon Mass in Fast Soil Pool,Carbon mass per unit area in fast soil pool. Fast means a lifetime of less than 10 years for reference climate conditions (20th century) in the absence of water limitations.,land,kg m-2,,area: mean where land time: mean,area: areacella
Lmon,cSoilMedium,mon,longitude latitude time,medium_soil_pool_mass_content_of_carbon,Carbon Mass in Medium Soil Pool,Carbon mass per unit area in medium (rate) soil pool. Medium means a lifetime of more than than 10 years and less than 100 years for reference climate conditions (20th century) in the absence of water limitations.,land,kg m-2,,area: mean where land time: mean,area: areacella
Lmon,cSoilSlow,mon,longitude latitude time,slow_soil_pool_mass_content_of_carbon,Carbon Mass in Slow Soil Pool,Carbon mass per unit area in slow soil pool. Slow means a lifetime of more than 100 years for reference climate (20th century) in the absence of water limitations.,land,kg m-2,,area: mean where land time: mean,area: areacella
Lmon,cVeg,mon,longitude latitude time,vegetation_carbon_content,Carbon Mass in Vegetation,Carbon mass per unit area in vegetation.,land,kg m-2,,area: mean where land time: mean,area: areacella
Lmon,cropFrac,mon,longitude latitude time typecrop,area_fraction,Percentage Crop Cover,Percentage of entire grid cell  that is covered by crop.,land,%,,area: mean where land over all_area_types time: mean,area: areacella
Lmon,evspsblsoi,mon,longitude latitude time,water_evaporation_flux_from_soil,Water Evaporation from Soil,Water evaporation from soil (including sublimation).,land,kg m-2 s-1,,area: mean where land time: mean,area: areacella
Lmon,evspsblveg,mon,longitude latitude time,water_evaporation_flux_from_canopy,Evaporation from Canopy,The canopy evaporation and sublimation (if present in model); may include dew formation as a negative flux.,land,kg m-2 s-1,,area: mean where land time: mean,area: areacella
Lmon,fFire,mon,longitude latitude time,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires_excluding_anthropogenic_land_use_change,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Excluding Land-Use Change [kgC m-2 s-1],"CO2 emissions (expressed as a carbon mass flux per unit area) from natural fires and human ignition fires as calculated by the fire module of the dynamic vegetation model, but excluding any CO2 flux from fire included in fLuc (CO2 Flux to Atmosphere from Land Use Change).",land,kg m-2 s-1,up,area: mean where land time: mean,area: areacella
Lmon,fGrazing,mon,longitude latitude time,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_grazing,Carbon Mass Flux into Atmosphere Due to Grazing on Land [kgC m-2 s-1],Carbon mass flux per unit area due to grazing on land,land,kg m-2 s-1,up,area: mean where land time: mean,area: areacella
Lmon,fHarvest,mon,longitude latitude time,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_crop_harvesting,Carbon Mass Flux into Atmosphere Due to Crop Harvesting [kgC m-2 s-1],Carbon mass flux per unit area due to crop harvesting,land,kg m-2 s-1,up,area: mean where land time: mean,area: areacella
Lmon,fLitterSoil,mon,longitude latitude time,carbon_mass_flux_into_soil_from_litter,Total Carbon Mass Flux from Litter to Soil,Carbon mass flux per unit area into soil from litter (dead plant material in or above the soil).,land,kg m-2 s-1,,area: mean where land time: mean,area: areacella
Lmon,fVegLitter,mon,longitude latitude time,mass_flux_of_carbon_into_litter_from_vegetation,Total Carbon Mass Flux from Vegetation to Litter,"In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics. 'Vegetation' means any living plants e.g. trees, shrubs, grass. 'Litter' is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between 'fine' and 'coarse' is model dependent. The sum of the quantities with standard names mass_flux_of_carbon_into_litter_from_vegetation_due_to_mortality and mass_flux_of_carbon_into_litter_from_vegetation_due_to_senescence is mass_flux_of_carbon_into_litter_from_vegetation.",land,kg m-2 s-1,,area: mean where land time: mean,area: areacella
Lmon,fVegSoil,mon,longitude latitude time,carbon_mass_flux_into_soil_from_vegetation_excluding_litter,Total Carbon Mass Flux from Vegetation Directly to Soil,"Carbon mass flux per unit area from vegetation directly into soil, without intermediate conversion to litter.",land,kg m-2 s-1,,area: mean where land time: mean,area: areacella
